Neighbourhood,City,Neighbourhood Number,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus,Americas,Brazil,Colombia,El Salvador,Guyana,Haiti,Jamaica,Mexico,Peru,Trinidad and Tobago,United States,Other places of birth in Americas,Europe,Bosnia and Herzegovina,Croatia,France,Germany,Greece,Hungary,Ireland,Italy,Netherlands,Poland,Portugal,Romania,Russian Federation,Serbia,Ukraine,United Kingdom,Other places of birth in Europe,Algeria,Egypt,Ethiopia,Kenya,Morocco,Nigeria,Somalia,South Africa; Republic of,Other places of birth in Africa,Asia,Afghanistan,Bangladesh,China,Hong Kong,India,Iran,Iraq,Japan,Korea; South,Lebanon,Pakistan,Philippines,Sri Lanka,Syria,Taiwan,Viet Nam,Other places of birth in Asia,Oceania and other places of birth,percent Americas,percent Brazil,percent Colombia,percent El Salvador,percent Guyana,percent Haiti,percent Jamaica,percent Mexico,percent Peru,percent Trinidad and Tobago,percent United States,percent Other places of birth in Americas,percent Europe,percent Bosnia and Herzegovina,percent Croatia,percent France,percent Germany,percent Greece,percent Hungary,percent Ireland,percent Italy,percent Netherlands,percent Poland,percent Portugal,percent Romania,percent Russian Federation,percent Serbia,percent Ukraine,percent United Kingdom,percent Other places of birth in Europe,percent Algeria,percent Egypt,percent Ethiopia,percent Kenya,percent Morocco,percent Nigeria,percent Somalia,percent South Africa; Republic of,percent Other places of birth in Africa,percent Asia,percent Afghanistan,percent Bangladesh,percent China,percent Hong Kong,percent India,percent Iran,percent Iraq,percent Japan,percent Korea; South,percent Lebanon,percent Pakistan,percent Philippines,percent Sri Lanka,percent Syria,percent Taiwan,percent Viet Nam,percent Other places of birth in Asia,percent Oceania and other places of birth
Mount Olive-Silverstone-Jamestown,Toronto,2,32954,12860,0.390240942,180,0.005462159,17970,0.545305577,17880,0.542574498,14945,0.453510955,4940,20,55,190,1510,170,1475,80,10,355,125,925,1400,25,20,25,85,115,20,20,600,0,105,80,10,35,10,25,105,125,0,40,110,130,10,725,435,0,1105,12570,325,215,70,30,4815,40,3535,10,45,55,900,645,945,230,0,365,380,20,0.149905929,0.000606907,0.001668993,0.005765613,0.045821448,0.005158706,0.044759362,0.002427626,0.000303453,0.010772592,0.003793166,0.02806943,0.042483462,0.000758633,0.000606907,0.000758633,0.002579353,0.003489713,0.000606907,0.000606907,0.018207198,0,0.00318626,0.002427626,0.000303453,0.001062087,0.000303453,0.000758633,0.00318626,0.003793166,0,0.001213813,0.003337986,0.003944893,0.000303453,0.022000364,0.013200218,0,0.033531589,0.381440796,0.009862232,0.006524246,0.002124173,0.00091036,0.146112763,0.001213813,0.107270741,0.000303453,0.00136554,0.001668993,0.027310797,0.019572738,0.028676337,0.006979426,0,0.011076045,0.011531225,0.000606907
Mount Pleasant East,Toronto,99,16775,12250,0.730253353,380,0.022652757,3710,0.221162444,3065,0.18271237,13695,0.816393443,870,35,25,20,35,10,90,30,30,90,305,195,1830,100,25,45,60,80,65,55,40,55,120,50,85,95,100,45,555,250,0,25,10,35,20,0,0,85,75,1535,0,15,245,125,150,210,0,45,125,40,10,280,25,10,0,20,210,40,0.051862891,0.002086438,0.001490313,0.00119225,0.002086438,0.000596125,0.005365127,0.001788376,0.001788376,0.005365127,0.018181818,0.011624441,0.109090909,0.005961252,0.001490313,0.002682563,0.003576751,0.004769001,0.003874814,0.003278689,0.002384501,0.003278689,0.007153502,0.002980626,0.005067064,0.005663189,0.005961252,0.002682563,0.033084948,0.01490313,0,0.001490313,0.000596125,0.002086438,0.00119225,0,0,0.005067064,0.004470939,0.091505216,0,0.000894188,0.014605067,0.007451565,0.008941878,0.012518629,0,0.002682563,0.007451565,0.002384501,0.000596125,0.016691505,0.001490313,0.000596125,0,0.00119225,0.012518629,0.002384501
Mount Pleasant West,Toronto,104,29658,17125,0.577415874,700,0.023602401,10525,0.354878953,9565,0.322509947,19340,0.652100614,1675,130,160,10,135,0,175,160,55,140,345,360,3775,135,75,80,180,65,95,170,135,60,175,40,335,430,285,205,840,510,10,100,50,30,45,40,10,160,260,5130,30,85,625,185,670,1115,0,130,445,75,115,815,55,35,35,15,730,45,0.056477173,0.004383303,0.005394834,0.000337177,0.004551892,0,0.0059006,0.005394834,0.001854474,0.00472048,0.011632612,0.012138378,0.127284375,0.004551892,0.002528829,0.002697417,0.006069189,0.002191651,0.003203183,0.005732012,0.004551892,0.002023063,0.0059006,0.001348709,0.011295435,0.014498618,0.009609549,0.006912132,0.028322881,0.017196035,0.000337177,0.003371772,0.001685886,0.001011531,0.001517297,0.001348709,0.000337177,0.005394834,0.008766606,0.172971879,0.001011531,0.002866006,0.021073572,0.006237777,0.022590869,0.037595253,0,0.004383303,0.015004383,0.002528829,0.003877537,0.027479938,0.001854474,0.00118012,0.00118012,0.000505766,0.024613932,0.001517297
New Toronto,Toronto,18,11463,7270,0.634214429,195,0.017011254,3530,0.307947309,4650,0.40565297,6635,0.578818808,830,35,30,0,80,20,130,35,0,185,55,260,1660,25,40,10,45,55,25,55,50,10,535,115,25,90,25,180,230,195,0,10,55,35,10,40,50,25,180,1045,0,10,125,30,140,20,10,25,50,10,10,320,10,0,0,80,210,30,0.072406874,0.003053302,0.002617116,0,0.006978976,0.001744744,0.011340836,0.003053302,0,0.016138882,0.004798046,0.022681671,0.144813749,0.00218093,0.003489488,0.000872372,0.003925674,0.004798046,0.00218093,0.004798046,0.00436186,0.000872372,0.046671901,0.010032278,0.00218093,0.007851348,0.00218093,0.015702696,0.020064556,0.017011254,0,0.000872372,0.004798046,0.003053302,0.000872372,0.003489488,0.00436186,0.00218093,0.015702696,0.091162872,0,0.000872372,0.01090465,0.002617116,0.012213208,0.001744744,0.000872372,0.00218093,0.00436186,0.000872372,0.000872372,0.027915903,0.000872372,0,0,0.006978976,0.018319812,0.002617116
Newtonbrook East,Toronto,50,16097,4125,0.25625893,70,0.004348636,10880,0.675902342,6550,0.40690812,8975,0.557557309,405,30,55,0,65,0,20,30,10,40,70,100,1275,10,40,0,55,110,65,30,235,0,70,35,70,90,55,100,180,150,0,40,10,20,10,10,0,40,115,8045,65,50,1935,905,270,2170,20,25,1355,60,105,420,0,20,245,50,355,10,0.025159968,0.001863701,0.003416786,0,0.00403802,0,0.001242468,0.001863701,0.000621234,0.002484935,0.004348636,0.006212338,0.079207306,0.000621234,0.002484935,0,0.003416786,0.006833571,0.00403802,0.001863701,0.014598994,0,0.004348636,0.002174318,0.004348636,0.005591104,0.003416786,0.006212338,0.011182208,0.009318507,0,0.002484935,0.000621234,0.001242468,0.000621234,0.000621234,0,0.002484935,0.007144188,0.499782568,0.00403802,0.003106169,0.120208735,0.056221656,0.016773312,0.134807728,0.001242468,0.001553084,0.084177176,0.003727403,0.006522955,0.026091818,0,0.001242468,0.015220227,0.003106169,0.022053799,0.000621234
Newtonbrook West,Toronto,36,23831,6495,0.272544165,150,0.006294323,15840,0.664680458,11025,0.462632705,12605,0.528932903,840,50,30,20,35,0,105,50,30,125,115,250,4035,10,20,40,80,100,100,0,450,40,105,55,225,1020,115,785,150,730,0,60,0,20,65,10,0,55,100,10460,80,30,965,250,380,1780,45,25,1530,20,100,3620,80,15,160,120,1270,10,0.035248206,0.002098108,0.001258865,0.000839243,0.001468675,0,0.004406026,0.002098108,0.001258865,0.005245269,0.004825647,0.010490538,0.169317276,0.000419622,0.000839243,0.001678486,0.003356972,0.004196215,0.004196215,0,0.018882968,0.001678486,0.004406026,0.002307918,0.009441484,0.042801393,0.004825647,0.032940288,0.006294323,0.03063237,0,0.002517729,0,0.000839243,0.00272754,0.000419622,0,0.002307918,0.004196215,0.43892409,0.003356972,0.001258865,0.040493475,0.010490538,0.015945617,0.074692627,0.001888297,0.001049054,0.06420209,0.000839243,0.004196215,0.151902984,0.003356972,0.000629432,0.006713944,0.005035458,0.053291931,0.000419622
Niagara,Toronto,82,31180,20505,0.657633098,755,0.02421424,8375,0.268601668,7335,0.235246953,23105,0.741019885,1680,90,165,60,85,0,185,120,50,170,290,450,2695,60,20,70,105,20,10,105,80,35,250,455,135,190,60,100,595,400,0,95,85,75,20,55,20,100,220,3875,10,35,735,310,515,310,55,50,245,45,115,520,95,35,40,170,555,60,0.053880693,0.002886466,0.005291854,0.00192431,0.002726106,0,0.005933291,0.003848621,0.001603592,0.005452213,0.009300834,0.014432328,0.086433611,0.00192431,0.000641437,0.002245029,0.003367543,0.000641437,0.000320718,0.003367543,0.002565747,0.001122514,0.00801796,0.014592688,0.004329699,0.00609365,0.00192431,0.003207184,0.019082745,0.012828736,0,0.003046825,0.002726106,0.002405388,0.000641437,0.001763951,0.000641437,0.003207184,0.007055805,0.124278384,0.000320718,0.001122514,0.023572803,0.009942271,0.016516998,0.009942271,0.001763951,0.001603592,0.007857601,0.001443233,0.003688262,0.016677357,0.003046825,0.001122514,0.001282874,0.005452213,0.017799872,0.00192431
North Riverdale,Toronto,68,11916,8750,0.734306814,195,0.016364552,2520,0.211480363,2450,0.205605908,9225,0.774169184,585,10,20,0,20,10,55,20,10,45,305,85,1085,10,20,25,40,185,0,40,70,30,35,30,35,25,45,0,365,135,0,20,0,20,10,0,0,35,20,1100,0,10,495,95,85,40,0,35,10,0,10,65,10,0,10,120,105,70,0.049093656,0.000839208,0.001678416,0,0.001678416,0.000839208,0.004615643,0.001678416,0.000839208,0.003776435,0.025595838,0.007133266,0.091054045,0.000839208,0.001678416,0.002098019,0.003356831,0.015525344,0,0.003356831,0.005874455,0.002517623,0.002937227,0.002517623,0.002937227,0.002098019,0.003776435,0,0.030631084,0.011329305,0,0.001678416,0,0.001678416,0.000839208,0,0,0.002937227,0.001678416,0.092312857,0,0.000839208,0.041540785,0.007972474,0.007133266,0.003356831,0,0.002937227,0.000839208,0,0.000839208,0.005454851,0.000839208,0,0.000839208,0.010070493,0.008811682,0.005874455
North St. James Town,Toronto,74,18615,7535,0.404781091,385,0.020682246,9450,0.507655117,10710,0.575342466,7650,0.410958904,1185,80,90,15,125,10,180,100,45,130,95,315,1065,25,45,50,30,20,45,10,35,20,75,35,50,185,65,50,180,135,0,65,445,15,50,15,90,30,375,6125,45,235,390,65,705,255,45,20,200,25,215,2230,575,25,0,140,930,0,0.06365834,0.004297609,0.004834811,0.000805802,0.006715015,0.000537201,0.009669621,0.005372012,0.002417405,0.006983615,0.005103411,0.016921837,0.057211926,0.001343003,0.002417405,0.002686006,0.001611604,0.001074402,0.002417405,0.000537201,0.001880204,0.001074402,0.004029009,0.001880204,0.002686006,0.009938222,0.003491808,0.002686006,0.009669621,0.007252216,0,0.003491808,0.023905453,0.000805802,0.002686006,0.000805802,0.004834811,0.001611604,0.020145044,0.329035724,0.002417405,0.012624228,0.020950846,0.003491808,0.037872683,0.01369863,0.002417405,0.001074402,0.010744024,0.001343003,0.011549825,0.119795864,0.030889068,0.001343003,0,0.007520817,0.04995971,0
Oakridge,Toronto,121,13845,5665,0.409172987,155,0.011195377,7040,0.508486818,8815,0.636691947,4810,0.34741784,810,0,0,10,180,0,195,20,0,145,65,180,590,0,10,10,35,80,10,10,105,0,10,40,10,20,10,0,125,100,0,50,305,10,10,50,65,10,465,5145,290,2470,395,65,370,85,25,20,20,20,280,555,230,10,10,45,270,0,0.058504875,0,0,0.000722282,0.013001083,0,0.014084507,0.001444565,0,0.010473095,0.004694836,0.013001083,0.042614662,0,0.000722282,0.000722282,0.002527988,0.005778259,0.000722282,0.000722282,0.007583965,0,0.000722282,0.00288913,0.000722282,0.001444565,0.000722282,0,0.00902853,0.007222824,0,0.003611412,0.022029614,0.000722282,0.000722282,0.003611412,0.004694836,0.000722282,0.033586132,0.371614301,0.02094619,0.178403756,0.028530155,0.004694836,0.026724449,0.006139401,0.001805706,0.001444565,0.001444565,0.001444565,0.020223908,0.040086674,0.016612495,0.000722282,0.000722282,0.003250271,0.019501625,0
Oakwood Village,Toronto,107,21210,10810,0.509665252,230,0.010843942,9110,0.42951438,8070,0.380480905,12895,0.60796794,2775,100,165,110,110,0,630,180,100,170,185,1015,3655,10,30,60,55,410,70,25,1140,10,90,1185,50,75,10,55,195,235,0,70,160,35,10,20,10,10,255,2955,10,20,360,50,160,50,15,10,70,10,35,1500,30,0,20,330,265,10,0.130834512,0.004714757,0.007779349,0.005186233,0.005186233,0,0.02970297,0.008486563,0.004714757,0.008015087,0.008722301,0.047854785,0.172324375,0.000471476,0.001414427,0.002828854,0.002593116,0.019330504,0.00330033,0.001178689,0.053748232,0.000471476,0.004243281,0.055869873,0.002357379,0.003536068,0.000471476,0.002593116,0.009193777,0.011079679,0,0.00330033,0.007543612,0.001650165,0.000471476,0.000942951,0.000471476,0.000471476,0.012022631,0.139321075,0.000471476,0.000942951,0.016973126,0.002357379,0.007543612,0.002357379,0.000707214,0.000471476,0.00330033,0.000471476,0.001650165,0.070721358,0.001414427,0,0.000942951,0.015558699,0.012494107,0.000471476
O'Connor-Parkview,Toronto,54,18675,11140,0.596519411,310,0.016599732,6560,0.351271754,7315,0.391700134,11180,0.598661312,1230,15,40,0,180,0,275,0,45,205,170,275,2245,65,35,0,70,555,260,20,120,25,45,85,85,65,65,0,320,415,20,10,60,10,20,40,35,10,290,2925,230,240,260,45,185,85,10,10,55,20,375,835,195,35,45,85,235,10,0.065863454,0.000803213,0.002141901,0,0.009638554,0,0.014725569,0,0.002409639,0.010977242,0.009103079,0.014725569,0.12021419,0.003480589,0.001874163,0,0.003748327,0.029718876,0.013922356,0.00107095,0.006425703,0.001338688,0.002409639,0.004551539,0.004551539,0.003480589,0.003480589,0,0.017135207,0.022222222,0.00107095,0.000535475,0.003212851,0.000535475,0.00107095,0.002141901,0.001874163,0.000535475,0.015528782,0.156626506,0.01231593,0.012851406,0.013922356,0.002409639,0.009906292,0.004551539,0.000535475,0.000535475,0.002945114,0.00107095,0.020080321,0.044712182,0.010441767,0.001874163,0.002409639,0.004551539,0.012583668,0.000535475
Old East York,Toronto,58,9233,5730,0.620600022,135,0.014621466,3065,0.331961443,2520,0.272934041,6700,0.725657966,445,0,50,0,70,0,75,10,0,60,60,125,1445,50,35,10,30,550,0,80,75,20,20,20,30,30,70,0,235,180,0,0,0,0,0,0,0,20,25,1070,10,10,215,55,40,45,10,15,35,15,35,295,20,0,30,120,155,20,0.048196686,0,0.005415358,0,0.007581501,0,0.008123037,0.001083072,0,0.00649843,0.00649843,0.013538395,0.156503845,0.005415358,0.003790751,0.001083072,0.003249215,0.059568938,0,0.008664573,0.008123037,0.002166143,0.002166143,0.002166143,0.003249215,0.003249215,0.007581501,0,0.025452182,0.019495289,0,0,0,0,0,0,0,0.002166143,0.002707679,0.11588866,0.001083072,0.001083072,0.023286039,0.005956894,0.004332286,0.004873822,0.001083072,0.001624607,0.003790751,0.001624607,0.003790751,0.031950612,0.002166143,0,0.003249215,0.012996859,0.01678761,0.002166143
Palmerston-Little Italy,Toronto,80,13826,9095,0.657818603,295,0.021336612,4055,0.293288008,4545,0.328728483,9200,0.66541299,675,60,30,35,20,0,45,25,0,75,235,160,2115,10,0,75,60,105,20,55,455,10,55,825,25,20,10,45,210,150,0,30,20,0,10,0,0,35,40,1150,0,0,460,75,55,55,30,20,85,10,10,70,10,0,35,120,110,20,0.048821062,0.00433965,0.002169825,0.002531462,0.00144655,0,0.003254737,0.001808187,0,0.005424562,0.016996962,0.0115724,0.15297266,0.000723275,0,0.005424562,0.00433965,0.007594387,0.00144655,0.003978012,0.032909012,0.000723275,0.003978012,0.059670187,0.001808187,0.00144655,0.000723275,0.003254737,0.015188775,0.010849125,0,0.002169825,0.00144655,0,0.000723275,0,0,0.002531462,0.0028931,0.083176624,0,0,0.03327065,0.005424562,0.003978012,0.003978012,0.002169825,0.00144655,0.006147837,0.000723275,0.000723275,0.005062925,0.000723275,0,0.002531462,0.0086793,0.007956025,0.00144655
Parkwoods-Donalda,Toronto,45,34805,17410,0.500215486,545,0.01565867,15245,0.43801178,13285,0.381698032,21420,0.615428818,2910,55,335,15,405,25,650,110,50,265,245,770,3755,90,30,55,145,295,125,45,150,55,180,105,830,155,150,110,625,585,25,300,60,95,40,40,115,100,550,9175,420,515,1180,345,590,860,130,40,355,255,540,1920,475,435,130,145,840,40,0.083608677,0.001580233,0.009625054,0.000430973,0.011636259,0.000718288,0.018675478,0.003160465,0.001436575,0.007613849,0.007039219,0.022123258,0.107886798,0.002585835,0.000861945,0.001580233,0.004166068,0.008475794,0.003591438,0.001292918,0.004309726,0.001580233,0.005171671,0.003016808,0.023847148,0.004453383,0.004309726,0.003160465,0.01795719,0.01680793,0.000718288,0.008619451,0.00172389,0.002729493,0.00114926,0.00114926,0.003304123,0.00287315,0.015802327,0.26361155,0.012067232,0.014796725,0.033903175,0.009912369,0.016951587,0.024709094,0.003735096,0.00114926,0.010199684,0.007326534,0.015515012,0.055164488,0.013647464,0.012498204,0.003735096,0.004166068,0.024134463,0.00114926
Pelmo Park-Humberlea,Toronto,23,10722,5185,0.483585152,55,0.00512964,5035,0.469595225,2930,0.273269912,7785,0.726077224,1105,30,35,95,95,0,260,65,0,20,35,440,1980,30,10,20,30,45,25,0,935,0,95,365,30,20,20,45,115,200,0,0,20,20,0,35,45,15,165,1545,25,35,35,10,165,0,40,0,25,0,95,360,100,25,0,535,95,15,0.103059131,0.002797985,0.003264316,0.008860287,0.008860287,0,0.024249207,0.006062302,0,0.001865324,0.003264316,0.04103712,0.18466704,0.002797985,0.000932662,0.001865324,0.002797985,0.004196978,0.002331655,0,0.08720388,0,0.008860287,0.034042156,0.002797985,0.001865324,0.001865324,0.004196978,0.010725611,0.018653236,0,0,0.001865324,0.001865324,0,0.003264316,0.004196978,0.001398993,0.01538892,0.144096251,0.002331655,0.003264316,0.003264316,0.000932662,0.01538892,0,0.003730647,0,0.002331655,0,0.008860287,0.033575825,0.009326618,0.002331655,0,0.049897407,0.008860287,0.001398993
Playter Estates-Danforth,Toronto,67,7804,5745,0.736160943,160,0.020502307,1650,0.211430036,1905,0.244105587,5740,0.735520246,340,10,10,0,0,10,20,10,0,45,145,80,840,0,20,15,65,285,20,25,45,20,25,0,0,20,35,0,190,95,0,10,15,0,0,0,0,15,35,495,0,0,155,40,60,20,0,30,20,0,25,40,0,0,0,35,60,30,0.043567401,0.001281394,0.001281394,0,0,0.001281394,0.002562788,0.001281394,0,0.005766274,0.018580215,0.010251153,0.107637109,0,0.002562788,0.001922091,0.008329062,0.036519733,0.002562788,0.003203485,0.005766274,0.002562788,0.003203485,0,0,0.002562788,0.00448488,0,0.024346489,0.012173244,0,0.001281394,0.001922091,0,0,0,0,0.001922091,0.00448488,0.063429011,0,0,0.019861609,0.005125577,0.007688365,0.002562788,0,0.003844182,0.002562788,0,0.003203485,0.005125577,0,0,0,0.00448488,0.007688365,0.003844182
Pleasant View,Toronto,46,15818,4855,0.306928815,135,0.008534581,10250,0.647995954,5710,0.360981161,10090,0.637880895,675,0,35,45,80,0,155,10,0,125,70,140,2085,25,20,0,50,725,50,0,500,10,45,60,135,55,60,0,175,170,10,110,15,35,0,0,10,40,125,6655,55,50,3255,495,410,355,60,25,145,65,115,520,195,190,140,115,460,10,0.042672904,0,0.002212669,0.00284486,0.005057529,0,0.009798963,0.000632191,0,0.00790239,0.004425338,0.008850676,0.13181186,0.001580478,0.001264382,0,0.003160956,0.04583386,0.003160956,0,0.031609559,0.000632191,0.00284486,0.003793147,0.008534581,0.003477051,0.003793147,0,0.011063346,0.01074725,0.000632191,0.006954103,0.000948287,0.002212669,0,0,0.000632191,0.002528765,0.00790239,0.420723227,0.003477051,0.003160956,0.205778227,0.031293463,0.025919838,0.022442787,0.003793147,0.001580478,0.009166772,0.004109243,0.007270199,0.032873941,0.012327728,0.012011632,0.008850676,0.007270199,0.029080794,0.000632191
Princess-Rosethorn,Toronto,10,11051,7005,0.633879287,115,0.010406298,3650,0.330286852,1550,0.1402588,9505,0.860103158,345,20,20,0,15,0,25,35,20,30,120,45,1805,20,65,20,85,50,20,20,180,30,250,125,135,50,70,125,265,295,0,0,0,0,10,0,25,50,55,1025,20,0,250,55,170,25,10,40,120,0,10,45,70,20,20,30,120,40,0.031218894,0.001809791,0.001809791,0,0.001357343,0,0.002262239,0.003167134,0.001809791,0.002714686,0.010858746,0.00407203,0.163333635,0.001809791,0.005881821,0.001809791,0.007691612,0.004524477,0.001809791,0.001809791,0.016288119,0.002714686,0.022622387,0.011311194,0.012216089,0.004524477,0.006334268,0.011311194,0.02397973,0.026694417,0,0,0,0,0.000904895,0,0.002262239,0.004524477,0.004976925,0.092751787,0.001809791,0,0.022622387,0.004976925,0.015383223,0.002262239,0.000904895,0.003619582,0.010858746,0,0.000904895,0.00407203,0.006334268,0.001809791,0.001809791,0.002714686,0.010858746,0.003619582
Regent Park,Toronto,72,10803,4695,0.4346015,240,0.022216051,5265,0.487364621,6660,0.616495418,4015,0.371656021,550,25,30,30,65,10,90,0,30,40,80,150,395,0,0,25,10,15,0,15,10,10,30,10,0,30,10,30,115,65,10,40,145,15,15,25,120,10,285,3385,25,840,645,50,150,100,15,15,10,10,255,240,410,15,20,410,155,15,0.050911784,0.002314172,0.002777006,0.002777006,0.006016847,0.000925669,0.008331019,0,0.002777006,0.003702675,0.00740535,0.013885032,0.036563917,0,0,0.002314172,0.000925669,0.001388503,0,0.001388503,0.000925669,0.000925669,0.002777006,0.000925669,0,0.002777006,0.000925669,0.002777006,0.010645191,0.006016847,0.000925669,0.003702675,0.013422198,0.001388503,0.001388503,0.002314172,0.011108026,0.000925669,0.026381561,0.313338887,0.002314172,0.077756179,0.059705637,0.004628344,0.013885032,0.009256688,0.001388503,0.001388503,0.000925669,0.000925669,0.023604554,0.022216051,0.037952421,0.001388503,0.001851338,0.037952421,0.014347866,0.001388503
Rexdale-Kipling,Toronto,4,10529,5635,0.535188527,120,0.011397094,4200,0.398898281,3880,0.368506031,6480,0.615443062,1505,0,40,175,200,0,370,70,45,145,35,425,1340,40,190,15,55,55,25,20,285,10,75,95,95,20,40,60,125,155,0,30,30,25,15,75,70,10,115,1745,100,75,25,10,375,10,70,0,20,10,230,455,90,0,0,130,155,10,0.142938551,0,0.003799031,0.016620762,0.018995156,0,0.035141039,0.006648305,0.00427391,0.013771488,0.003324152,0.040364707,0.127267547,0.003799031,0.018045398,0.001424637,0.005223668,0.005223668,0.002374395,0.001899516,0.027068098,0.000949758,0.007123184,0.009022699,0.009022699,0.001899516,0.003799031,0.005698547,0.011871973,0.014721246,0,0.002849273,0.002849273,0.002374395,0.001424637,0.007123184,0.006648305,0.000949758,0.010922215,0.165732738,0.009497578,0.007123184,0.002374395,0.000949758,0.035615918,0.000949758,0.006648305,0,0.001899516,0.000949758,0.02184443,0.04321398,0.00854782,0,0,0.012346852,0.014721246,0.000949758
Rockcliffe-Smythe,Toronto,111,22246,10520,0.472894003,215,0.009664659,10635,0.478063472,9360,0.420749798,12875,0.578755731,3335,235,10,340,345,15,650,155,130,185,100,1185,4195,30,105,15,80,160,55,0,485,30,260,2110,55,35,45,110,195,405,20,40,150,35,10,30,230,20,340,2630,35,100,115,10,175,40,0,30,30,10,155,640,35,10,0,970,300,10,0.149914591,0.010563697,0.000449519,0.015283646,0.015508406,0.000674279,0.029218736,0.006967545,0.005843747,0.008316102,0.00449519,0.053268003,0.188573227,0.001348557,0.00471995,0.000674279,0.003596152,0.007192304,0.002472355,0,0.021801672,0.001348557,0.011687494,0.094848512,0.002472355,0.001573317,0.002022836,0.004944709,0.008765621,0.01820552,0.000899038,0.001798076,0.006742785,0.001573317,0.000449519,0.001348557,0.010338937,0.000899038,0.015283646,0.118223501,0.001573317,0.00449519,0.005169469,0.000449519,0.007866583,0.001798076,0,0.001348557,0.001348557,0.000449519,0.006967545,0.028769217,0.001573317,0.000449519,0,0.043603344,0.01348557,0.000449519
Roncesvalles,Toronto,86,14974,10100,0.674502471,330,0.0220382,4090,0.27314011,5260,0.351275544,9615,0.642112996,900,25,50,20,130,0,80,40,20,120,240,175,1815,0,50,30,85,35,125,20,35,10,455,335,10,50,45,50,325,145,0,10,10,10,0,10,10,10,85,1475,0,30,220,45,310,35,10,10,35,20,35,185,125,0,10,235,165,75,0.060104181,0.001669561,0.003339121,0.001335648,0.008681715,0,0.005342594,0.002671297,0.001335648,0.008013891,0.016027781,0.011686924,0.121210098,0,0.003339121,0.002003473,0.005676506,0.002337385,0.008347803,0.001335648,0.002337385,0.000667824,0.030386002,0.022372112,0.000667824,0.003339121,0.003005209,0.003339121,0.021704287,0.009683451,0,0.000667824,0.000667824,0.000667824,0,0.000667824,0.000667824,0.000667824,0.005676506,0.098504074,0,0.002003473,0.014692133,0.003005209,0.020702551,0.002337385,0.000667824,0.000667824,0.002337385,0.001335648,0.002337385,0.012354748,0.008347803,0,0.000667824,0.015693869,0.0110191,0.005008682
Rosedale-Moore Park,Toronto,98,20923,15785,0.754432921,495,0.023658175,4215,0.201452947,3440,0.164412369,17175,0.820866988,1150,90,80,10,20,0,75,60,40,50,555,195,2205,20,10,100,145,75,135,75,100,35,90,35,125,100,65,35,770,320,0,60,45,35,30,10,10,140,55,1710,0,30,315,180,205,185,0,50,130,65,50,140,20,10,30,10,255,40,0.054963437,0.004301486,0.003823543,0.000477943,0.000955886,0,0.003584572,0.002867658,0.001911772,0.002389715,0.026525833,0.009319887,0.105386417,0.000955886,0.000477943,0.004779429,0.006930173,0.003584572,0.00645223,0.003584572,0.004779429,0.0016728,0.004301486,0.0016728,0.005974287,0.004779429,0.003106629,0.0016728,0.036801606,0.015294174,0,0.002867658,0.002150743,0.0016728,0.001433829,0.000477943,0.000477943,0.006691201,0.002628686,0.081728242,0,0.001433829,0.015055202,0.008602973,0.00979783,0.008841944,0,0.002389715,0.006213258,0.003106629,0.002389715,0.006691201,0.000955886,0.000477943,0.001433829,0.000477943,0.012187545,0.001911772
Rouge,Toronto,131,46496,24205,0.520582416,280,0.006022023,19390,0.41702512,11595,0.24937629,34470,0.741354095,6015,25,30,35,2030,20,1925,30,60,890,180,795,1685,0,10,25,160,50,25,10,145,20,140,75,100,10,25,20,580,270,10,55,135,45,0,50,45,105,475,16890,315,385,595,460,2940,65,55,10,45,30,775,2830,7385,80,15,265,615,80,0.129365967,0.000537681,0.000645217,0.000752753,0.04365967,0.000430145,0.041401411,0.000645217,0.001290434,0.019141432,0.003871301,0.017098245,0.036239677,0,0.000215072,0.000537681,0.003441156,0.001075361,0.000537681,0.000215072,0.003118548,0.000430145,0.003011012,0.001613042,0.002150723,0.000215072,0.000537681,0.000430145,0.012474191,0.005806951,0.000215072,0.001182897,0.002903476,0.000967825,0,0.001075361,0.000967825,0.002258259,0.010215933,0.363257054,0.006774776,0.008280282,0.0127968,0.009893324,0.063231246,0.00139797,0.001182897,0.000215072,0.000967825,0.000645217,0.0166681,0.060865451,0.158830867,0.001720578,0.000322608,0.005699415,0.013226944,0.001720578
